,Unnamed: 0,日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
1586,1586,20220531,4334,ユークス,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1587,1587,20220531,4335,アイ・ピー・エス,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1591,1591,20220531,4344,ソースネクスト,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1595,1595,20220531,4348,インフォコム,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,6,TOPIX Small 1
1599,1599,20220531,4356,応用技術,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1608,1608,20220531,4370,モビルス,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1609,1609,20220531,4371,コアコンセプト・テクノロジー,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1610,1610,20220531,4372,ユミルリンク,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1611,1611,20220531,4373,シンプレクス・ホールディングス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1612,1612,20220531,4374,ＲＯＢＯＴ　ＰＡＹＭＥＮＴ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1613,1613,20220531,4375,セーフィー,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1614,1614,20220531,4376,くふうカンパニー,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1615,1615,20220531,4377,ワンキャリア,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1616,1616,20220531,4378,ＣＩＮＣ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1617,1617,20220531,4379,Ｐｈｏｔｏｓｙｎｔｈ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1618,1618,20220531,4380,Ｍマート,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1619,1619,20220531,4381,ビープラッツ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1620,1620,20220531,4382,ＨＥＲＯＺ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1621,1621,20220531,4384,ラクスル,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,6,TOPIX Small 1
1622,1622,20220531,4385,メルカリ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
