,日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
2349,20220531,6230,ＳＡＮＥＩ,スタンダード（内国株式）,3600,機械,8,機械 ,-,-
2350,20220531,6231,木村工機,スタンダード（内国株式）,3600,機械,8,機械 ,-,-
2351,20220531,6232,ＡＣＳＬ,グロース（内国株式）,3600,機械,8,機械 ,-,-
2352,20220531,6233,極東産機,スタンダード（内国株式）,3600,機械,8,機械 ,-,-
2353,20220531,6235,オプトラン,プライム（内国株式）,3600,機械,8,機械 ,6,TOPIX Small 1
2354,20220531,6236,ＮＣホールディングス,スタンダード（内国株式）,3600,機械,8,機械 ,7,TOPIX Small 2
2355,20220531,6237,イワキポンプ,プライム（内国株式）,3600,機械,8,機械 ,7,TOPIX Small 2
2356,20220531,6238,フリュー,プライム（内国株式）,3600,機械,8,機械 ,6,TOPIX Small 1
2357,20220531,6239,ナガオカ,スタンダード（内国株式）,3600,機械,8,機械 ,-,-
2358,20220531,6240,ヤマシンフィルタ,プライム（内国株式）,3600,機械,8,機械 ,6,TOPIX Small 1
2359,20220531,6245,ヒラノテクシード,スタンダード（内国株式）,3600,機械,8,機械 ,-,-
2360,20220531,6246,テクノスマート,スタンダード（内国株式）,3600,機械,8,機械 ,-,-
2361,20220531,6247,日阪製作所,プライム（内国株式）,3600,機械,8,機械 ,7,TOPIX Small 2
2362,20220531,6248,横田製作所,スタンダード（内国株式）,3600,機械,8,機械 ,-,-
2363,20220531,6249,ゲームカード・ジョイコホールディングス,スタンダード（内国株式）,3600,機械,8,機械 ,-,-
2364,20220531,6250,やまびこ,プライム（内国株式）,3600,機械,8,機械 ,7,TOPIX Small 2
2365,20220531,6254,野村マイクロ・サイエンス,プライム（内国株式）,3600,機械,8,機械 ,7,TOPIX Small 2
2366,20220531,6255,エヌ・ピー・シー,グロース（内国株式）,3600,機械,8,機械 ,-,-
2367,20220531,6257,藤商事,スタンダード（内国株式）,3600,機械,8,機械 ,-,-
2368,20220531,6258,平田機工,プライム（内国株式）,3600,機械,8,機械 ,6,TOPIX Small 1
2369,20220531,6262,ペガサスミシン製造,プライム（内国株式）,3600,機械,8,機械 ,7,TOPIX Small 2
2370,20220531,6264,マルマエ,プライム（内国株式）,3600,機械,8,機械 ,7,TOPIX Small 2
2371,20220531,6265,コンバム,スタンダード（内国株式）,3600,機械,8,機械 ,-,-
2372,20220531,6266,タツモ,プライム（内国株式）,3600,機械,8,機械 ,7,TOPIX Small 2
2373,20220531,6267,ゼネラルパッカー,スタンダード（内国株式）,3600,機械,8,機械 ,-,-
2374,20220531,6268,ナブテスコ,プライム（内国株式）,3600,機械,8,機械 ,4,TOPIX Mid400
2375,20220531,6269,三井海洋開発,プライム（内国株式）,3600,機械,8,機械 ,6,TOPIX Small 1
2376,20220531,6272,レオン自動機,プライム（内国株式）,3600,機械,8,機械 ,6,TOPIX Small 1
2377,20220531,6273,ＳＭＣ,プライム（内国株式）,3600,機械,8,機械 ,1,TOPIX Core30
2378,20220531,6276,シリウスビジョン,スタンダード（内国株式）,3600,機械,8,機械 ,-,-
2379,20220531,6277,ホソカワミクロン,プライム（内国株式）,3600,機械,8,機械 ,6,TOPIX Small 1
2380,20220531,6278,ユニオンツール,プライム（内国株式）,3600,機械,8,機械 ,7,TOPIX Small 2
2381,20220531,6279,瑞光,スタンダード（内国株式）,3600,機械,8,機械 ,-,-
2382,20220531,6282,オイレス工業,プライム（内国株式）,3600,機械,8,機械 ,7,TOPIX Small 2
2383,20220531,6284,日精エー・エス・ビー機械,プライム（内国株式）,3600,機械,8,機械 ,6,TOPIX Small 1
2384,20220531,6286,靜甲,スタンダード（内国株式）,3600,機械,8,機械 ,-,-
2385,20220531,6287,サトーホールディングス,プライム（内国株式）,3600,機械,8,機械 ,6,TOPIX Small 1
2386,20220531,6289,技研製作所,プライム（内国株式）,3600,機械,8,機械 ,6,TOPIX Small 1
2387,20220531,6291,日本エアーテック,プライム（内国株式）,3600,機械,8,機械 ,7,TOPIX Small 2
2388,20220531,6292,カワタ,スタンダード（内国株式）,3600,機械,8,機械 ,7,TOPIX Small 2
2389,20220531,6293,日精樹脂工業,プライム（内国株式）,3600,機械,8,機械 ,7,TOPIX Small 2
2390,20220531,6294,オカダアイヨン,プライム（内国株式）,3600,機械,8,機械 ,7,TOPIX Small 2
2391,20220531,6297,鉱研工業,スタンダード（内国株式）,3600,機械,8,機械 ,-,-
2392,20220531,6298,ワイエイシイホールディングス,プライム（内国株式）,3600,機械,8,機械 ,7,TOPIX Small 2
2393,20220531,6301,小松製作所,プライム（内国株式）,3600,機械,8,機械 ,2,TOPIX Large70
2394,20220531,6302,住友重機械工業,プライム（内国株式）,3600,機械,8,機械 ,4,TOPIX Mid400
2395,20220531,6303,ササクラ,スタンダード（内国株式）,3600,機械,8,機械 ,-,-
2396,20220531,6305,日立建機,プライム（内国株式）,3600,機械,8,機械 ,4,TOPIX Mid400
2397,20220531,6306,日工,プライム（内国株式）,3600,機械,8,機械 ,7,TOPIX Small 2
2398,20220531,6307,サンセイ,スタンダード（内国株式）,3600,機械,8,機械 ,-,-
